Unnamed: 0,_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Price,Name,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
61,6589cbad8997406b55ed5f29,AMD Ryzen 5 7535HS,GeForce RTX 2050,16,15.6,Full HD(1920 x 1080 pixels),5.06 lbs(2.3 kg),1000gb SSD,14.09 x 10.04 x 0.93 inches,Windows 11 Home,8-Nov-23,14868000,HP Victus 15″,10241,7344,0,0,0,0,0
62,6589cbad8997406b55ed5f2a,AMD Ryzen 7 5800H,GeForce RTX 3060,64,16,Quad HD(2560 x 1440 pixels),5.4 lbs(2.45 kg),2000gb SSD,0biet,Windows 11,2-Sep-22,59976000,Lenovo Legion 5 pro 16″,12472,17090,1,0,0,0,0
63,6589cbae8997406b55ed5f2c,AMD Ryzen 5 4600H,GeForce GTX 1650,16,17.3,Full HD(1920 x 1080 pixels),6 lbs(2.72 kg),500gb SSD,15.71 x 10.95 x 1.02 inches,Windows 11 Home,5-Aug-23,22296000,ASUS TUF A17,8648,7869,1,0,0,0,0
64,6589cbae8997406b55ed5f2d,Intel Core i7-1165G7,Intel Iris Xe,32,15.6,Full HD(1920 x 1080 pixels),4.35 lbs(1.97 kg),500gb SSD,14.09 x 9.06 x 0.74 inches,Windows 11 Home,22-Jun-21,25919760,HP Envy 15″ (174R7AV-2209-8315),5125,2690,0,0,0,0,0
65,6589cbae8997406b55ed5f30,Intel Core i5-12450H,GeForce RTX 4050,16,15.6,Full HD(1920 x 1080 pixels),7.2 lbs(3.27 kg),500gb SSD,14.13 x 9.99 x 0.85 inches,0biet,11-Oct-23,19560000,MSI GF6312VE 15″,10370,14693,1,0,0,0,0
66,6589cbae8997406b55ed5f31,Intel Core i7-1260P,Intel Iris Xe,16,15.6,Full HD(1920 x 1080 pixels),2.54 lbs(1.15 kg),1000gb SSD,14.02 x 8.78 x 0.69 inches,Windows 11 Pro,26-Apr-23,38376000,LG Gram 15″ (15Z90Q),9960,2690,0,1,0,1,0
67,6589cbae8997406b55ed5f32,AMD Ryzen 7 4800H,GeForce RTX 3050 Ti,16,15.6,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),500gb SSD,0biet,Windows 11 Home,6-Dec-22,23616000,ASUS TUF 15″,6238,10181,0,0,0,0,0
68,6589cbaf8997406b55ed5f33,Intel Core i7-11800H,GeForce RTX 3080,32,15.6,Full HD(1920 x 1080 pixels),4.73 lbs(2.15 kg),2x 500gb SSD,14 x 10.5 x 1.2 inches,Windows 11 Pro,19-Jun-22,59016000,MSI GP66 Leopard 15″,12390,25353,0,0,0,0,0
69,6589cbaf8997406b55ed5f34,Intel Core i5-12450H,GeForce RTX 2050,16,15.6,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),"500gb SSD, 2000gb HDD",14.13 x 9.99 x 0.85 inches,Windows 11 Home,22-Jul-23,20616000,EXcaliberPC MSI 15″ (Thin GF63 12UCX-484US),10370,7344,0,0,0,0,0
70,6589cbaf8997406b55ed5f36,Intel Core i5-1135G7,Intel Iris Xe,8,14,Full HD(1920 x 1080 pixels),4.37 lbs(1.98 kg),500gb SSD,0biet,Windows 11,24-Jul-23,9454800,MSI Modern 14 (B1024),5002,2690,0,0,0,0,0
71,6589cbaf8997406b55ed5f38,Intel Core i7-12650H,GeForce RTX 4060,32,15.6,Full HD(1920 x 1080 pixels),4.7 lbs(2.13 kg),1000gb SSD,14.2 x 9.4 x 1 inches,Windows 11 Home,4-Dec-23,36839760,Gigabyte G5 KF5 15″,13152,19573,0,0,0,0,0
72,6589cbaf8997406b55ed5f3a,Intel Core i7-12700H,GeForce RTX 3070,32,15.6,Full HD(1920 x 1080 pixels),4.96 lbs(2.25 kg),2000gb SSD,14.13 x 10.2 x 0.94 inches,Windows 11 Pro,8-May-23,39576000,MSI Pulse GL66 15″,15486,22459,0,0,1,0,0
73,6589cbaf8997406b55ed5f3d,Intel Core i7-12700H,GeForce RTX 3070 Ti,32,16,WQUXGA(3840 x 2400 pixels),5 lbs(2.27 kg),8000gb SSD,14.02 x 9.78 x 0.88 inches,Windows 11 Pro,12-Apr-23,81576000,Gigabyte AERO 16,15486,23757,1,0,1,0,0
74,6589cbaf8997406b55ed5f3c,Intel Core i9-12900H,GeForce RTX 3060,64,17.3,Full HD(1920 x 1080 pixels),6.39 lbs(2.9 kg),2000gb SSD,15.65 x 11.21 x 1.03 inches,Windows 11 Home,15-Oct-23,55656000,MSI Raider GE76 17″ (Raider GE76 12UE),16894,17090,1,0,1,0,0
75,6589cbaf8997406b55ed5f3b,Intel Core i7-11800H,GeForce RTX 3060,16,17.3,Full HD(1920 x 1080 pixels),6.39 lbs(2.9 kg),1000gb SSD,15.63 x 10.57 x 1.08 inches,Windows 11,12-Sep-21,29116800,MSI GE76 Raider 17″ (GE76 Raider 11UE-046),12390,17090,1,0,0,0,0
76,6589cbb08997406b55ed5f3f,Intel Core i5-1135G7,Intel Iris Xe,8,13.5,Quad HD(2560 x 1440 pixels),2.66 lbs(1.21 kg),1000gb SSD,11.9 x 9.21 x 0.63 inches,Windows 10 Pro,6-Sep-23,13656000,Acer Swift 3 13,5002,2690,0,1,0,0,0
77,6589cbb08997406b55ed5f41,Intel Core i7-1195G7,Intel Iris Xe,16,15.6,Full HD(1920 x 1080 pixels),4 lbs(1.81 kg),500gb SSD,14.13 x 8.98 x 0.72 inches,Windows 11 Pro,19-Nov-23,26399760,HP Envy X360 15″ (4N743UA),5481,2690,0,0,0,0,0
78,6589cbb08997406b55ed5f40,Intel Core i7-10870H,GeForce RTX 3080,64,15.6,Full HD(1920 x 1080 pixels),4.41 lbs(2 kg),1000gb SSD,14.1 x 9.4 x 0.78 inches,0biet,12-Aug-23,62376000,HIDevolution EVOC 15″ (EV-PC502D-HID14),8989,25353,0,0,0,0,0
79,6589cbb08997406b55ed5f42,Intel Core i9-13980HX,GeForce RTX 4090,64,17,Quad HD Plus(3200 x 1800 pixels),6.83 lbs(3.1 kg),2000gb SSD,14.97 x 11.73 x 1.13 inches,Windows 11 Pro,19-Nov-23,117720000,MSI Raider GE78HX 13VI-079US 17″ (Raider),31343,38875,1,0,1,0,0
80,6589cbb08997406b55ed5f46,Intel Core i7-1165G7,Intel Iris Xe,16,13.4,WUXGA(1920 x 1200 pixels),6.08 lbs(2.76 kg),500gb SSD,0biet,Windows 11 Home,9-Oct-21,47976000,Razer Book 13 (RZ09-0357MEM2-R3U1),5125,2690,0,0,0,0,0
